0.00	-75.17941200
0.01	-61.61030948
0.02	-65.96400044
0.03	-71.19028151
0.04	-74.63572988
0.05	-73.49834126
0.06	-78.86966104
0.07	-81.03013619
0.08	-79.77909054
0.09	-84.51384842
0.10	-82.00581616
0.11	-77.59697438
0.12	-79.80803628
0.13	-79.94071219
0.14	-81.10806783
0.15	-85.59701812
0.16	-82.53880516
0.17	-79.86262017
0.18	-85.68299111
0.19	-77.69896458
0.20	-77.87856903
0.21	-77.01950378
0.22	-73.67478366
0.23	-84.05673035
0.24	-77.90062209
0.25	-80.97689838
0.26	-75.34769236
0.27	-78.92164455
0.28	-72.59604848
0.29	-78.95194690
0.30	-78.50035727
0.31	-80.16605277
0.32	-86.65956448
0.33	-83.97619857
0.34	-82.02729297
0.35	-77.64681712
0.36	-73.25132118
0.37	-65.40153127
0.38	-83.90731520
0.39	-76.07073442
0.40	-73.38690531
0.41	-73.33101956
0.42	-62.62166559
0.43	-67.20780661
0.44	-57.67213763
0.45	-65.14204991
0.46	-67.77481067
0.47	-64.35397750
0.48	-67.97444786
0.49	-79.25626190
0.50	-73.19990483
0.51	-73.54965340
0.52	-67.23910847
0.53	-73.65598729
0.54	-60.92092683
0.55	-64.82625044
0.56	-55.25035752
0.57	-59.46885107
0.58	-62.03196650
0.59	-65.82490962
0.60	-66.30291033
0.61	-56.52617301
0.62	-54.28938548
0.63	-66.08869284
0.64	-71.08599016
0.65	-69.62365890
0.66	-73.72088810
0.67	-76.33735106
0.68	-69.90569140
0.69	-67.52581784
0.70	-73.34141344
0.71	-60.30065723
0.72	-80.46535703
0.73	-79.92529274
0.74	-60.19808529
0.75	-65.29431856
0.76	-67.41091201
0.77	-73.40456736
0.78	-69.67728724
0.79	-68.78900976
0.80	-70.53184508
0.81	-70.05948275
0.82	-71.29696530
0.83	-67.17731473
0.84	-58.41038907
0.85	-64.45555398
0.86	-77.52545407
0.87	-74.94179178
0.88	-67.44472295
0.89	-67.91428796
0.90	-68.51907071
0.91	-72.32558409
0.92	-71.80996196
0.93	-66.13392205
0.94	-67.13037496
0.95	-69.20776956
0.96	-65.89943495
0.97	-64.31199948
0.98	-68.54959198
0.99	-65.72738165
1.00	-62.93546626
1.01	-65.63234772
1.02	-67.45336994
1.03	-66.87364504
1.04	-62.78999542
1.05	-61.77894930
1.06	-66.85136970
1.07	-57.10402674
1.08	-66.19933003
1.09	-59.68314313
1.10	-67.01108385
1.11	-65.79135417
1.12	-66.42064815
