0.00	-75.17941205
0.01	-61.61030951
0.02	-65.96400048
0.03	-71.19028155
0.04	-74.63572992
0.05	-73.4983413
0.06	-78.86966109
0.07	-81.03013623
0.08	-79.77909058
0.09	-84.51384847
0.10	-82.0058162
0.11	-77.59697443
0.12	-79.80803633
0.13	-79.94071224
0.14	-81.10806788
0.15	-85.59701816
0.16	-82.53880521
0.17	-79.86262022
0.18	-85.68299116
0.19	-77.69896463
0.20	-77.87856907
0.21	-77.01950382
0.22	-73.6747837
0.23	-84.0567304
0.24	-77.90062213
0.25	-80.97689842
0.26	-75.3476924
0.27	-78.9216446
0.28	-72.59604852
0.29	-78.95194694
0.30	-78.50035731
0.31	-80.16605282
0.32	-86.65956453
0.33	-83.97619861
0.34	-82.02729302
0.35	-77.64681716
0.36	-73.25132122
0.37	-65.40153131
0.38	-83.90731525
0.39	-76.07073446
0.40	-73.38690535
0.41	-73.3310196
0.42	-62.62166563
0.43	-67.20780664
0.44	-57.67213767
0.45	-65.14204995
0.46	-67.77481071
0.47	-64.35397753
0.48	-67.9744479
0.49	-79.25626195
0.50	-73.19990488
0.51	-73.54965344
0.52	-67.23910851
0.53	-73.65598733
0.54	-60.92092686
0.55	-64.82625048
0.56	-55.25035755
0.57	-59.4688511
0.58	-62.03196654
0.59	-65.82490966
0.60	-66.30291037
0.61	-56.52617304
0.62	-54.28938552
0.63	-66.08869288
0.64	-71.0859902
0.65	-69.62365894
0.66	-73.72088815
0.67	-76.3373511
0.68	-69.90569144
0.69	-67.52581788
0.70	-73.34141348
0.71	-60.30065727
0.72	-80.46535707
0.73	-79.92529278
0.74	-60.19808533
0.75	-65.29431859
0.76	-67.41091205
0.77	-73.4045674
0.78	-69.67728728
0.79	-68.7890098
0.80	-70.53184512
0.81	-70.05948279
0.82	-71.29696534
0.83	-67.17731477
0.84	-58.4103891
0.85	-64.45555402
0.86	-77.52545411
0.87	-74.94179183
0.88	-67.44472299
0.89	-67.914288
0.90	-68.51907075
0.91	-72.32558413
0.92	-71.809962
0.93	-66.13392208
0.94	-67.130375
0.95	-69.2077696
0.96	-65.89943499
0.97	-64.31199952
0.98	-68.54959202
0.99	-65.72738169
1.00	-62.9354663
1.01	-65.63234775
1.02	-67.45336998
1.03	-66.87364508
1.04	-62.78999546
1.05	-61.77894933
1.06	-66.85136974
1.07	-57.10402677
1.08	-66.19933007
1.09	-59.68314316
1.10	-67.01108389
1.11	-65.79135421
1.12	-66.42064818
1.13	-63.77539077
1.14	-68.12509584
1.15	-52.7360196
1.16	-67.01595793
1.17	-68.22300502
1.18	-64.57483437
1.19	-66.1986262
1.20	-65.43551912
1.21	-69.95384919
1.22	-68.14825932
1.23	-69.42226769
1.24	-66.51268595
1.25	-62.16348972
1.26	-66.61330306
1.27	-68.22144049
1.28	-65.57279326
1.29	-65.19550478
1.30	-61.89138982
1.31	-62.281625
1.32	-65.40763815
1.33	-65.03172992
1.34	-63.59661616
1.35	-53.25920578
1.36	-58.06771941
1.37	-53.94763098
1.38	-67.57524331
1.39	-59.7106869
1.40	-66.11907194
1.41	-65.58264388
1.42	-63.35682983
1.43	-60.93783963
1.44	-65.71233246
1.45	-66.98217089
1.46	-64.50967256
1.47	-64.86790942
1.48	-66.7135043
1.49	-72.89831788
1.50	-63.08202772
1.51	-68.6910239
1.52	-71.37553513
1.53	-59.49751601
1.54	-57.36988504
1.55	-64.28518332
1.56	-61.56210588
1.57	-69.05280378
1.58	-69.32390989
1.59	-68.43764173
1.60	-65.79516539
1.61	-59.25340081
1.62	-68.07149665
1.63	-63.84650048
1.64	-69.14328418
1.65	-68.22517495
1.66	-68.1022077
1.67	-70.7537794
1.68	-59.91648709
1.69	-73.37812715
1.70	-68.24222801
1.71	-69.17342256
1.72	-71.41673446
1.73	-62.28465177
1.74	-63.2678499
1.75	-66.99603633
1.76	-66.11092471
1.77	-68.02452772
1.78	-63.93000454
1.79	-56.77660636
1.80	-63.55328872
1.81	-68.28572514
1.82	-63.66406238
1.83	-55.46066563
1.84	-50.50941635
1.85	-65.54677988
1.86	-65.04866635
1.87	-66.60337428
1.88	-57.29971056
1.89	-69.43156023
1.90	-64.05988838
1.91	-61.00762189
1.92	-69.07353657
1.93	-52.41915368
1.94	-67.02217782
1.95	-68.52377916
1.96	-63.87119049
1.97	-62.5099761
1.98	-64.30436257
1.99	-65.56070387
2.00	-60.32962333
2.01	-72.27495387
2.02	-65.5631838
2.03	-68.11045698
2.04	-65.84278705
2.05	-70.37233533
2.06	-65.9048597
2.07	-73.06041874
2.08	-67.05527366
2.09	-73.39090966
2.10	-71.60060229
2.11	-71.10235397
2.12	-67.55217615
2.13	-69.47875884
2.14	-63.0949577
2.15	-69.00685612
2.16	-69.92109226
2.17	-77.94316013
2.18	-74.19026362
2.19	-90.7728805
2.20	-74.87964101
2.21	-70.50897156
2.22	-73.8419044
2.23	-63.26196941
2.24	-76.13385923
2.25	-73.94431071
2.26	-72.72634632
2.27	-72.43402605
2.28	-70.0135423
2.29	-66.79957768
2.30	-62.03864794
2.31	-69.09544383
2.32	-63.46336424
2.33	-67.04058031
2.34	-68.95227964
2.35	-67.94263217
2.36	-60.63969861
2.37	-73.37652629
2.38	-67.23649737
2.39	-58.75467663
2.40	-54.57001936
2.41	-63.87599163
2.42	-54.59441922
2.43	-57.21688145
2.44	-53.77232839
2.45	-59.74369168
2.46	-56.47936831
2.47	-49.96298088
2.48	-55.28780784
2.49	-61.12637715
2.50	-56.70050048
2.51	-63.44105593
2.52	-47.72271343
2.53	-58.06363456
2.54	-53.90837524
2.55	-46.86751099
2.56	-55.95479087
2.57	-63.18953561
2.58	-62.13390225
2.59	-63.77080832
2.60	-72.47133413
2.61	-70.68250024
2.62	-68.44166444
2.63	-67.79272108
2.64	-76.02864149
2.65	-62.07574426
2.66	-59.61888982
2.67	-65.78270913
2.68	-56.16619837
2.69	-65.38541181
2.70	-53.60873566
2.71	-58.44544909
2.72	-65.33771343
2.73	-65.32481071
2.74	-63.28022777
2.75	-67.82906286
2.76	-65.3711924
2.77	-66.67581525
2.78	-65.01402964
2.79	-60.36107098
